City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
3,Touros,BR,83.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
6,Ullal,IN,77.95,mist,12.8,74.85,AK INTERNATIONAL LODGE
7,Port Macquarie,AU,75.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
9,Hobart,AU,67.12,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
11,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Sao Filipe,CV,70.99,overcast clouds,14.8961,-24.4956,Hotel Xaguate
14,Vaini,TO,80.15,light rain,-21.2,-175.2,Keleti Beach Resort
19,Ponta Do Sol,PT,65.03,clear sky,32.6667,-17.1,Hotel do Campo
20,Buchanan,LR,78.76,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
27,Bluff,NZ,67.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
29,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
32,Sinazongwe,ZM,72.88,overcast clouds,-17.2614,27.4618,Lakeview Lodge
34,Rikitea,PF,76.55,overcast clouds,-23.1203,-134.9692,People ThankYou
35,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
37,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
39,Quilmana,PE,73.83,overcast clouds,-12.95,-76.3833,Hospedaje SAN ANTONIO
40,Carupano,VE,76.15,scattered clouds,10.6678,-63.2585,Hotel La dorada
42,Bredasdorp,ZA,69.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
43,Gizo,SB,83.66,overcast clouds,-8.103,156.8419,Imagination Island
44,Mataura,NZ,67.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
46,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
47,Hermanus,ZA,69.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
48,Wanaka,NZ,67.1,few clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
49,Kaitangata,NZ,70.93,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
51,Constitucion,CL,65.75,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
58,Springbok,ZA,77.02,broken clouds,-29.6643,17.8865,Undulata Country Lodge
59,Vangaindrano,MG,73.15,scattered clouds,-23.35,47.6,Hotel Fanilo
63,Port Elizabeth,ZA,72.1,few clouds,-33.918,25.5701,39 On Nile Guest House
64,Faanui,PF,80.6,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Wynyard,AU,71.96,scattered clouds,-41.0,145.7167,Burnie Airport Motel
72,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
74,Mar Del Plata,AR,66.87,thunderstorm with rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
76,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
78,Ballina,AU,75.38,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
79,Lorengau,PG,78.69,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
83,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
88,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
90,Tocopilla,CL,68.9,clear sky,-22.092,-70.1979,Hotel Galvarino
91,Kingston,JM,79.75,broken clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
92,Atuona,PF,78.08,light rain,-9.8,-139.0333,Villa Enata
95,Laguna,US,65.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
96,Jacareacanga,BR,72.5,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
99,Codrington,AU,67.01,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
101,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
102,Moree,AU,75.22,overcast clouds,-29.4667,149.85,Molika Springs Motel
103,Ures,MX,75.52,broken clouds,29.4333,-110.4,Hacienda Quinta Napoles
106,Vao,NC,79.07,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
107,Cabo San Lucas,MX,80.91,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
108,Nsanje,MW,71.69,clear sky,-16.92,35.262,Nsanje Discovery Lodge
109,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
110,Port Alfred,ZA,73.78,overcast clouds,-33.5906,26.891,The Halyards Hotel
111,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Cidreira,BR,73.87,clear sky,-30.1811,-50.2056,Hotel Castelo
116,Port Blair,IN,69.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
118,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
120,Conde,BR,81.86,few clouds,-7.2597,-34.9075,Pousada Beija Flor
121,Hwange,ZW,67.75,light rain,-18.3693,26.5019,Hwange Colliery Guest House
123,Labuhan,ID,78.01,light rain,-6.8844,112.2051,DoubleFAG
124,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Hostel Del Puerto
128,Yulara,AU,71.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
129,Padang,ID,77.02,overcast clouds,-0.9492,100.3543,Mercure Padang
130,East London,ZA,74.61,broken clouds,-33.0153,27.9116,Tu Casa
133,Tuatapere,NZ,67.82,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
136,Fougamou,GA,73.92,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
137,Namatanai,PG,81.3,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
138,Hithadhoo,MV,81.55,overcast clouds,-0.6,73.0833,Scoop Guest House
139,Mindelo,CV,69.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
141,Labuan,MY,77.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
142,Port Moresby,PG,74.62,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
147,Chuy,UY,73.56,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
148,Morondava,MG,81.66,few clouds,-20.2833,44.2833,La Case Bambou
149,Namibe,AO,73.26,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
150,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
153,Kavaratti,IN,81.23,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
154,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
155,Viedma,AR,69.15,broken clouds,-40.8135,-62.9967,Hotel Cristal
156,Caravelas,BR,79.61,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
158,Basoko,CD,74.16,broken clouds,1.2391,23.616,Jackyna Hotel
159,Nouadhibou,MR,66.18,overcast clouds,20.931,-17.0347,El Medina
164,Inirida,CO,86.99,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
168,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
171,Batouri,CM,73.17,overcast clouds,4.4333,14.3667,Hotel Hollywood
172,Kendari,ID,76.21,light rain,-3.945,122.4989,Hotel Wixel
174,Bermejo,AR,93.11,few clouds,-32.8833,-68.8,Muras Apart Hotel
179,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
180,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
185,Gweta,BW,71.13,overcast clouds,-20.1833,25.2333,Gweta Lodge
186,San Patricio,US,72.32,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
187,Kruisfontein,ZA,69.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
189,Amarante Do Maranhao,BR,71.85,scattered clouds,-5.5667,-46.7422,Hotéis Caçulinha
195,Salta,AR,80.89,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
196,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
197,Toamasina,MG,73.4,broken clouds,-18.1667,49.3833,Hotel H1
198,Pisco,PE,75.25,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
199,Cape Town,ZA,68.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
202,Sinnamary,GF,76.39,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
205,Alice Springs,AU,72.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
208,Bani,DO,87.24,few clouds,18.2833,-70.3333,Hospedaje Henriquez
212,Bengkulu,ID,75.72,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
213,Irituia,BR,73.44,overcast clouds,-1.7711,-47.4381,Hotel Irituia
216,New Norfolk,AU,66.76,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
223,Lucea,JM,73.26,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
231,Luganville,VU,79.54,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
234,Te Anau,NZ,66.97,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
235,Tutoia,BR,85.98,overcast clouds,-2.7619,-42.2744,Pousada Guará's
236,Angoche,MZ,77.16,clear sky,-16.2325,39.9086,Guest House HESADA
237,Namuac,PH,72.18,overcast clouds,18.6109,121.1657,Mlin Hotel
241,Ahipara,NZ,74.28,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
243,San Jose,US,67.01,haze,37.3394,-121.895,The Westin San Jose
244,Ambilobe,MG,74.39,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
251,Tautira,PF,84.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
252,Gorontalo,ID,73.49,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
