City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lagoa,PT,39.05,-27.9833,58.53,70,50,26.51,scattered clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,89,75,8.05,broken clouds
2,Areka,ET,7.0667,37.7,62.06,38,90,5.79,overcast clouds
3,Touros,BR,-5.1989,-35.4608,83.3,76,20,12.57,few clouds
4,Palmer,US,42.1584,-72.3287,22.37,31,20,3.0,few clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,100,19.57,light snow
6,Ullal,IN,12.8,74.85,77.95,78,0,0.0,mist
7,Port Macquarie,AU,-31.4333,152.9167,75.88,77,8,4.59,clear sky
8,Albany,US,42.6001,-73.9662,20.23,40,11,3.0,few clouds
9,Hobart,AU,-42.8794,147.3294,67.12,86,75,5.75,broken clouds
10,Zhanakorgan,KZ,43.9098,67.2495,24.76,73,65,7.87,broken clouds
11,Kapaa,US,22.0752,-159.319,80.58,70,0,1.01,clear sky
12,Sao Filipe,CV,14.8961,-24.4956,70.99,74,99,14.36,overcast clouds
13,Naqadeh,IR,36.9553,45.388,17.78,86,33,6.38,scattered clouds
14,Vaini,TO,-21.2,-175.2,80.15,77,100,12.71,light rain
15,Tasiilaq,GL,65.6145,-37.6368,6.96,50,96,12.75,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,53.71,47,40,32.21,scattered clouds
17,Aripuana,BR,-9.1667,-60.6333,74.44,98,100,1.83,moderate rain
18,Ushuaia,AR,-54.8,-68.3,47.86,61,75,33.38,broken clouds
19,Ponta Do Sol,PT,32.6667,-17.1,65.03,73,1,9.37,clear sky
20,Buchanan,LR,5.8808,-10.0467,78.76,83,50,7.0,scattered clouds
21,Vrangel,RU,42.7297,133.0839,14.23,69,4,9.26,clear sky
22,Beringovskiy,RU,63.05,179.3167,-8.84,100,100,10.16,overcast clouds
23,Chokurdakh,RU,70.6333,147.9167,-29.99,93,16,2.8,few clouds
24,Asau,RO,46.4333,26.4,39.4,65,99,18.52,overcast clouds
25,Hofn,IS,64.2539,-15.2082,25.65,51,0,22.35,clear sky
26,Castro,BR,-24.7911,-50.0119,63.91,97,98,8.19,overcast clouds
27,Bluff,NZ,-46.6,168.3333,67.8,85,93,4.43,overcast clouds
28,Fortuna,US,40.5982,-124.1573,60.93,70,0,5.01,clear sky
29,Belmonte,BR,-15.8631,-38.8828,81.1,82,9,11.18,clear sky
30,Dikson,RU,73.5069,80.5464,-3.62,93,100,21.07,overcast clouds
31,Fengrun,CN,39.8333,118.1167,24.75,91,94,7.29,overcast clouds
32,Sinazongwe,ZM,-17.2614,27.4618,72.88,87,99,5.21,overcast clouds
33,Luderitz,NA,-26.6481,15.1594,64.98,87,75,8.39,broken clouds
34,Rikitea,PF,-23.1203,-134.9692,76.55,69,100,4.16,overcast clouds
35,Pochutla,MX,15.7432,-96.4661,85.82,46,0,7.34,clear sky
36,Llangefni,GB,53.2556,-4.3106,47.98,74,75,27.63,broken clouds
37,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,89,9,9.26,clear sky
38,Sitka,US,57.0531,-135.33,37.29,75,75,0.0,broken clouds
39,Quilmana,PE,-12.95,-76.3833,73.83,73,97,7.36,overcast clouds
40,Carupano,VE,10.6678,-63.2585,76.15,84,31,9.8,scattered clouds
41,Lebu,CL,-37.6167,-73.65,60.28,65,0,20.49,clear sky
42,Bredasdorp,ZA,-34.5322,20.0403,69.28,83,85,10.36,overcast clouds
43,Gizo,SB,-8.103,156.8419,83.66,74,100,8.61,overcast clouds
44,Mataura,NZ,-46.1927,168.8643,67.48,68,48,0.47,scattered clouds
45,Jamestown,US,42.097,-79.2353,20.52,44,100,4.61,overcast clouds
46,Carnarvon,AU,-24.8667,113.6333,78.87,73,57,16.11,broken clouds
47,Hermanus,ZA,-34.4187,19.2345,69.8,86,97,12.95,overcast clouds
48,Wanaka,NZ,-44.7,169.15,67.1,64,18,5.01,few clouds
49,Kaitangata,NZ,-46.2817,169.8464,70.93,72,16,0.29,few clouds
50,Fairbanks,US,64.8378,-147.7164,-9.76,72,0,0.0,clear sky
51,Constitucion,CL,-35.3333,-72.4167,65.75,67,5,19.95,clear sky
52,Busselton,AU,-33.65,115.3333,63.09,64,90,18.16,overcast clouds
53,Bolshaya Dzhalga,RU,45.9695,42.6966,34.03,80,100,15.93,snow
54,College,US,64.8569,-147.8028,-8.77,73,40,0.0,scattered clouds
55,Shumyachi,RU,53.8583,32.4242,30.38,98,99,6.67,light snow
