City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sabzevar,IR,2022-01-22 21:21:28,36.2126,57.6819,30.88,43,0,1.52
1,Mizdah,LY,2022-01-22 21:21:29,31.4451,12.9801,45.86,73,0,8.12
2,Iqaluit,CA,2022-01-22 21:21:29,63.7506,-68.5145,4.73,65,100,8.99
3,Roma,US,2022-01-22 21:20:40,43.2128,-75.4557,25.66,46,0,6.91
4,Georgetown,MY,2022-01-22 21:21:29,5.4112,100.3354,80.89,85,20,2.3
5,Katsuura,JP,2022-01-22 21:21:30,35.1333,140.3,39.31,57,94,8.3
6,Carnarvon,AU,2022-01-22 21:21:30,-24.8667,113.6333,77.07,73,32,4.61
7,Guozhen,CN,2022-01-22 21:21:30,34.3659,107.359,31.62,95,99,1.01
8,Novyy Urengoy,RU,2022-01-22 21:21:31,66.0833,76.6333,13.95,95,100,10.87
9,Mataura,NZ,2022-01-22 21:21:31,-46.1927,168.8643,55.47,61,97,6.08
10,Rikitea,PF,2022-01-22 21:21:32,-23.1203,-134.9692,78.49,74,100,10.16
11,Abeche,TD,2022-01-22 21:21:32,13.8292,20.8324,70.39,15,9,8.52
12,Barrow,US,2022-01-22 21:21:32,71.2906,-156.7887,-9.38,70,75,20.71
13,Bredasdorp,ZA,2022-01-22 21:21:32,-34.5322,20.0403,80.28,88,20,1.14
14,San Rafael,AR,2022-01-22 21:21:33,-34.6177,-68.3301,94.5,19,1,12.06
15,Xai-Xai,MZ,2022-01-22 21:21:33,-25.0519,33.6442,73.45,81,49,15.61
16,Bambous Virieux,MU,2022-01-22 21:21:34,-20.3428,57.7575,81.21,89,40,10.36
17,Busselton,AU,2022-01-22 21:21:34,-33.65,115.3333,71.1,55,5,7.83
18,Ushuaia,AR,2022-01-22 21:20:59,-54.8,-68.3,49.66,81,75,20.71
19,Norman Wells,CA,2022-01-22 21:21:34,65.282,-126.8329,-2.16,65,75,6.91
20,Omagh,GB,2022-01-22 21:20:04,54.6,-7.3,42.24,95,99,4.09
21,Flinders,AU,2022-01-22 21:21:35,-34.5833,150.8552,69.19,88,88,3.0
22,Guerrero Negro,MX,2022-01-22 21:21:35,27.9769,-114.0611,66.09,54,8,3.65
23,Sept-Iles,CA,2022-01-22 21:21:36,50.2001,-66.3821,9.05,72,75,3.0
24,Alvaraes,BR,2022-01-22 21:21:36,-3.2208,-64.8042,78.67,99,100,5.79
25,San Patricio,US,2022-01-22 21:21:36,28.017,-97.5169,56.12,36,99,10.4
26,Cape Town,ZA,2022-01-22 21:17:25,-33.9258,18.4232,84.11,58,0,3.44
27,Albany,US,2022-01-22 21:21:37,42.6001,-73.9662,25.81,59,64,1.01
28,Cayenne,GF,2022-01-22 21:21:37,4.9333,-52.3333,74.08,92,0,3.44
29,Maceio,BR,2022-01-22 21:21:37,-9.6658,-35.7353,83.64,69,20,10.36
30,Liberal,US,2022-01-22 21:19:06,37.0431,-100.921,52.83,34,0,8.05
31,Provideniya,RU,2022-01-22 21:21:38,64.3833,-173.3,-0.04,99,93,7.61
32,Nuuk,GL,2022-01-22 21:19:22,64.1835,-51.7216,14.61,79,100,13.8
33,Ozinki,RU,2022-01-22 21:21:38,51.1786,49.6769,20.55,96,100,15.03
34,Qasigiannguit,GL,2022-01-22 21:21:38,68.8193,-51.1922,3.45,78,12,7.4
35,Yellowknife,CA,2022-01-22 21:21:39,62.456,-114.3525,-17.59,94,100,9.22
